"日付け","終値","始値","高値","安値","前日比%"
"2017年01月10日","115.77","116.02","116.35","115.19","-0.22%"
"2017年01月09日","116.03","116.91","117.53","115.97","-0.76%"
"2017年01月06日","116.92","115.36","117.19","115.06","1.35%"
"2017年01月05日","115.36","117.25","117.44","115.22","-1.63%"
"2017年01月04日","117.27","117.77","118.19","117.05","-0.41%"
"2017年01月03日","117.75","117.55","118.61","117.20","0.19%"
"2017年01月02日","117.53","116.92","117.69","116.72","0.55%"
"2016年12月30日","116.89","116.56","117.22","116.05","0.29%"
"2016年12月29日","116.55","117.25","117.27","116.20","-0.60%"
"2016年12月28日","117.25","117.41","117.83","117.05","-0.14%"
"2016年12月27日","117.42","117.09","117.64","117.08","0.28%"
"2016年12月26日","117.09","117.38","117.40","116.99","-0.22%"
"2016年12月23日","117.35","117.55","117.67","117.18","-0.16%"
"2016年12月22日","117.54","117.58","117.90","117.26","-0.01%"
"2016年12月21日","117.55","117.84","118.07","117.08","-0.28%"
"2016年12月20日","117.88","117.11","118.28","116.99","0.68%"
"2016年12月19日","117.08","117.89","118.03","116.53","-0.77%"
"2016年12月16日","117.99","118.18","118.43","117.45","-0.15%"
"2016年12月15日","118.17","117.05","118.67","116.97","0.96%"
"2016年12月14日","117.05","115.17","117.39","114.75","1.61%"
"2016年12月13日","115.19","115.03","115.50","114.73","0.14%"
"2016年12月12日","115.03","115.22","116.12","114.83","-0.32%"
"2016年12月09日","115.40","114.04","115.40","114.00","1.20%"
"2016年12月08日","114.03","113.73","114.39","113.14","0.23%"
"2016年12月07日","113.77","114.00","114.41","113.39","-0.22%"
"2016年12月06日","114.02","113.88","114.22","113.50","0.16%"
"2016年12月05日","113.84","113.55","114.80","112.86","0.23%"
"2016年12月02日","113.58","114.10","114.25","113.33","-0.45%"
"2016年12月01日","114.09","114.45","114.83","113.81","-0.33%"
"2016年11月30日","114.47","112.41","114.56","112.05","1.85%"
"2016年11月29日","112.39","111.94","113.36","111.61","0.40%"
"2016年11月28日","111.94","113.05","113.12","111.33","-1.01%"
"2016年11月25日","113.08","113.34","113.91","112.55","-0.23%"
"2016年11月24日","113.34","112.53","113.58","112.39","0.73%"
"2016年11月23日","112.52","111.11","112.98","110.83","1.26%"
"2016年11月22日","111.12","110.81","111.36","110.23","0.26%"
"2016年11月21日","110.83","110.93","111.40","110.46","-0.11%"
"2016年11月18日","110.95","110.13","110.98","109.80","0.76%"
"2016年11月17日","110.11","109.08","110.20","108.55","0.94%"
"2016年11月16日","109.08","109.19","109.77","108.78","-0.08%"
"2016年11月15日","109.17","108.42","109.36","107.77","0.69%"
"2016年11月14日","108.42","106.54","108.56","106.53","1.63%"
"2016年11月11日","106.68","106.82","106.94","106.01","-0.14%"
"2016年11月10日","106.83","105.67","106.95","104.97","1.10%"
"2016年11月09日","105.67","105.14","105.91","101.17","0.48%"
"2016年11月08日","105.16","104.46","105.22","104.29","0.66%"
"2016年11月07日","104.47","103.14","104.64","103.09","1.29%"
"2016年11月04日","103.14","102.98","103.37","102.83","0.16%"
"2016年11月03日","102.98","103.31","103.45","102.56","-0.32%"
"2016年11月02日","103.31","104.14","104.19","103.00","-0.82%"
"2016年11月01日","104.16","104.84","105.14","103.81","-0.63%"
"2016年10月31日","104.82","104.69","105.23","104.25","0.11%"
"2016年10月28日","104.70","105.28","105.55","104.47","-0.56%"
"2016年10月27日","105.29","104.46","105.35","104.28","0.78%"
"2016年10月26日","104.47","104.22","104.62","104.00","0.23%"
"2016年10月25日","104.23","104.18","104.88","104.10","0.04%"
"2016年10月24日","104.19","103.86","104.33","103.70","0.35%"
"2016年10月21日","103.83","103.95","104.23","103.53","-0.12%"
"2016年10月20日","103.95","103.44","104.11","103.33","0.49%"
"2016年10月19日","103.44","103.84","103.94","103.16","-0.40%"
"2016年10月18日","103.86","103.89","104.22","103.67","-0.03%"
"2016年10月17日","103.89","104.06","104.39","103.77","-0.29%"
"2016年10月14日","104.19","103.70","104.48","103.59","0.48%"
"2016年10月13日","103.69","104.22","104.64","103.33","-0.49%"
"2016年10月12日","104.20","103.52","104.50","103.28","0.66%"
"2016年10月11日","103.52","103.61","104.08","103.16","-0.09%"
"2016年10月10日","103.61","103.09","103.81","102.81","0.67%"
"2016年10月07日","102.92","103.94","104.05","102.86","-0.98%"
"2016年10月06日","103.94","103.50","104.17","103.33","0.43%"
"2016年10月05日","103.50","102.89","103.67","102.67","0.59%"
"2016年10月04日","102.89","101.64","102.97","101.56","1.23%"
"2016年10月03日","101.64","101.39","101.69","101.22","0.30%"
"2016年09月30日","101.34","101.03","101.77","100.75","0.31%"
"2016年09月29日","101.03","100.69","101.86","100.64","0.36%"
"2016年09月28日","100.67","100.42","100.83","100.25","0.23%"
"2016年09月27日","100.44","100.33","101.00","100.08","0.11%"
"2016年09月26日","100.33","101.05","101.11","100.23","-0.66%"
"2016年09月23日","101.00","100.75","101.25","100.67","0.25%"
"2016年09月22日","100.75","100.33","100.94","100.09","0.44%"
"2016年09月21日","100.31","101.72","102.81","100.31","-1.38%"
"2016年09月20日","101.71","101.95","102.08","101.54","-0.23%"
"2016年09月19日","101.94","102.22","102.42","101.58","-0.35%"
"2016年09月16日","102.30","102.08","102.47","101.73","0.21%"
"2016年09月15日","102.09","102.42","102.75","101.92","-0.32%"
"2016年09月14日","102.42","102.56","103.36","102.25","-0.14%"
"2016年09月13日","102.56","101.88","102.77","101.42","0.69%"
"2016年09月12日","101.86","102.69","102.80","101.56","-0.81%"
"2016年09月09日","102.69","102.48","103.06","101.97","0.19%"
"2016年09月08日","102.50","101.75","102.61","101.41","0.76%"
"2016年09月07日","101.73","102.03","102.14","101.20","-0.28%"
"2016年09月06日","102.02","103.44","103.83","101.94","-1.37%"
"2016年09月05日","103.44","103.95","104.14","103.14","-0.53%"
"2016年09月02日","103.99","103.24","104.33","102.81","0.72%"
"2016年09月01日","103.25","103.42","104.02","103.05","-0.16%"
"2016年08月31日","103.42","102.95","103.53","102.84","0.44%"
"2016年08月30日","102.97","101.92","103.14","101.75","1.03%"
"2016年08月29日","101.92","101.83","102.41","101.83","0.09%"
"2016年08月26日","101.83","100.53","101.94","100.08","1.29%"
"2016年08月25日","100.53","100.44","100.62","100.28","0.09%"
"2016年08月24日","100.44","100.25","100.62","100.08","0.19%"
"2016年08月23日","100.25","100.33","100.41","99.92","-0.08%"
"2016年08月22日","100.33","100.42","100.94","100.20","0.11%"
"2016年08月19日","100.22","99.89","100.46","99.86","0.33%"
"2016年08月18日","99.89","100.28","100.50","99.64","-0.38%"
"2016年08月17日","100.27","100.33","101.18","100.05","-0.04%"
"2016年08月16日","100.31","101.27","101.31","99.56","-0.93%"
"2016年08月15日","101.25","101.22","101.47","100.86","-0.06%"
"2016年08月12日","101.31","101.94","102.28","100.83","-0.63%"
"2016年08月11日","101.95","101.28","102.06","101.00","0.66%"
"2016年08月10日","101.28","101.89","101.97","100.95","-0.60%"
"2016年08月09日","101.89","102.44","102.53","101.77","-0.54%"
"2016年08月08日","102.44","101.72","102.67","101.72","0.62%"
"2016年08月05日","101.81","101.22","102.06","100.85","0.58%"
"2016年08月04日","101.22","101.25","101.67","100.86","-0.01%"
"2016年08月03日","101.23","100.89","101.58","100.73","0.34%"
"2016年08月02日","100.89","102.39","102.83","100.67","-1.46%"
"2016年08月01日","102.39","102.06","102.69","102.00","0.32%"
"2016年07月29日","102.06","105.25","105.34","101.95","-3.05%"
"2016年07月28日","105.27","105.41","105.53","104.53","-0.12%"
"2016年07月27日","105.40","104.65","106.54","104.61","0.71%"
"2016年07月26日","104.66","105.81","105.89","104.00","-1.06%"
"2016年07月25日","105.78","106.22","106.73","105.73","-0.28%"
"2016年07月22日","106.08","105.81","106.39","105.56","0.26%"
"2016年07月21日","105.81","106.86","107.48","105.42","-0.96%"
"2016年07月20日","106.84","106.14","107.03","105.83","0.68%"
"2016年07月19日","106.12","106.16","106.53","105.64","-0.04%"
"2016年07月18日","106.16","105.13","106.26","105.05","1.26%"
"2016年07月15日","104.84","105.34","106.31","104.64","-0.47%"
"2016年07月14日","105.34","104.50","105.95","104.00","0.80%"
"2016年07月13日","104.50","104.69","104.89","103.91","-0.18%"
"2016年07月12日","104.69","102.80","104.97","102.42","1.83%"
"2016年07月11日","102.81","100.44","102.91","100.44","2.25%"
"2016年07月08日","100.55","100.78","101.25","100.03","-0.23%"
"2016年07月07日","100.78","101.34","101.44","100.61","-0.54%"
"2016年07月06日","101.33","101.73","101.78","100.19","-0.38%"
"2016年07月05日","101.72","102.58","102.61","101.45","-0.82%"
"2016年07月04日","102.56","102.53","102.81","102.42","0.03%"
"2016年07月01日","102.53","103.27","103.41","102.42","-0.74%"
"2016年06月30日","103.29","102.84","103.33","102.36","0.45%"
"2016年06月29日","102.83","102.77","102.95","102.17","0.07%"
"2016年06月28日","102.76","102.00","102.85","101.54","0.75%"
"2016年06月27日","102.00","102.11","102.47","101.39","-0.22%"
"2016年06月24日","102.23","106.17","106.85","99.12","-3.70%"
"2016年06月23日","106.16","104.42","106.19","104.11","1.68%"
"2016年06月22日","104.41","104.75","104.86","104.31","-0.32%"
"2016年06月21日","104.75","103.94","105.06","103.58","0.78%"
"2016年06月20日","103.94","104.34","104.86","103.78","-0.17%"
"2016年06月17日","104.12","104.28","104.84","104.09","-0.12%"
"2016年06月16日","104.25","106.00","106.03","103.58","-1.67%"
"2016年06月15日","106.02","106.11","106.39","105.47","-0.08%"
"2016年06月14日","106.11","106.27","106.42","105.61","-0.13%"
"2016年06月13日","106.25","106.92","106.92","105.73","-0.68%"
"2016年06月10日","106.98","107.08","107.28","106.56","-0.10%"
"2016年06月09日","107.09","106.97","107.19","106.25","0.10%"
"2016年06月08日","106.98","107.34","107.39","106.58","-0.35%"
"2016年06月07日","107.36","107.58","107.92","107.17","-0.19%"
"2016年06月06日","107.56","106.44","107.66","106.36","0.97%"
"2016年06月03日","106.53","108.88","109.14","106.50","-2.14%"
"2016年06月02日","108.86","109.53","109.59","108.50","-0.61%"
"2016年06月01日","109.53","110.69","110.83","109.05","-1.07%"
"2016年05月31日","110.71","111.13","111.37","110.51","-0.38%"
"2016年05月30日","111.13","110.42","111.45","110.31","0.82%"
"2016年05月27日","110.23","109.77","110.47","109.47","0.42%"
"2016年05月26日","109.77","110.19","110.25","109.39","-0.38%"
"2016年05月25日","110.19","110.00","110.47","109.86","0.18%"
"2016年05月24日","109.99","109.23","110.12","109.15","0.70%"
"2016年05月23日","109.23","110.09","110.25","109.09","-0.84%"
"2016年05月20日","110.15","109.96","110.59","109.84","0.16%"
"2016年05月19日","109.97","110.19","110.39","109.69","-0.20%"
"2016年05月18日","110.19","109.14","110.27","108.72","0.96%"
"2016年05月17日","109.14","109.03","109.66","108.83","0.10%"
"2016年05月16日","109.03","108.56","109.11","108.44","0.39%"
"2016年05月13日","108.61","109.02","109.50","108.52","-0.39%"
"2016年05月12日","109.03","108.42","109.41","108.22","0.56%"
"2016年05月11日","108.42","109.27","109.39","108.36","-0.78%"
"2016年05月10日","109.27","108.34","109.36","108.25","0.87%"
"2016年05月09日","108.33","107.11","108.61","107.02","1.13%"
"2016年05月06日","107.12","107.28","107.44","106.45","-0.12%"
"2016年05月05日","107.25","107.00","107.50","106.80","0.21%"
"2016年05月04日","107.02","106.61","107.47","106.25","0.38%"
"2016年05月03日","106.61","106.42","106.69","105.53","0.18%"
"2016年05月02日","106.42","106.29","106.83","106.16","0.06%"
"2016年04月29日","106.36","108.11","108.20","106.28","-1.62%"
"2016年04月28日","108.11","111.50","111.92","107.88","-3.01%"
"2016年04月27日","111.47","111.31","111.77","111.02","0.14%"
"2016年04月26日","111.31","111.20","111.48","110.66","0.10%"
"2016年04月25日","111.20","111.56","111.92","110.83","-0.53%"
"2016年04月22日","111.79","109.46","111.82","109.25","2.14%"
"2016年04月21日","109.45","109.88","109.91","109.31","-0.36%"
"2016年04月20日","109.84","109.20","109.89","108.75","0.59%"
"2016年04月19日","109.20","108.83","109.52","108.76","0.34%"
"2016年04月18日","108.83","108.23","109.00","107.83","0.06%"
"2016年04月15日","108.77","109.41","109.77","108.61","-0.58%"
"2016年04月14日","109.40","109.36","109.57","108.91","0.05%"
"2016年04月13日","109.34","108.53","109.41","108.48","0.73%"
"2016年04月12日","108.55","107.93","108.80","107.84","0.57%"
"2016年04月11日","107.94","108.05","108.44","107.61","-0.11%"
"2016年04月08日","108.06","108.20","109.11","108.01","-0.15%"
"2016年04月07日","108.22","109.78","109.86","107.67","-1.44%"
"2016年04月06日","109.80","110.32","110.64","109.31","-0.48%"
"2016年04月05日","110.33","111.32","111.36","109.94","-0.90%"
"2016年04月04日","111.33","111.68","111.81","111.06","-0.30%"
"2016年04月01日","111.67","112.56","112.59","111.56","-0.81%"
"2016年03月31日","112.58","112.39","112.67","112.08","0.14%"
"2016年03月30日","112.42","112.69","112.81","111.99","-0.24%"
"2016年03月29日","112.69","113.42","113.81","112.58","-0.67%"
"2016年03月28日","113.45","113.08","113.70","113.03","0.34%"
"2016年03月25日","113.07","112.91","113.33","112.73","0.14%"
"2016年03月24日","112.91","112.37","113.02","112.27","0.47%"
"2016年03月23日","112.38","112.36","112.93","112.12","0.00%"
"2016年03月22日","112.38","111.94","112.50","111.36","0.39%"
"2016年03月21日","111.94","111.43","111.98","111.20","0.33%"
"2016年03月18日","111.57","111.38","111.77","110.80","0.16%"
"2016年03月17日","111.39","112.53","112.97","110.65","-1.07%"
"2016年03月16日","112.59","113.14","113.83","112.31","-0.53%"
"2016年03月15日","113.19","113.81","113.94","112.61","-0.56%"
"2016年03月14日","113.83","113.82","114.02","113.48","0.02%"
"2016年03月11日","113.81","113.18","113.92","112.76","0.55%"
"2016年03月10日","113.19","113.34","114.45","112.61","-0.13%"
"2016年03月09日","113.34","112.62","113.48","112.20","0.65%"
"2016年03月08日","112.61","113.45","113.52","112.41","-0.76%"
"2016年03月07日","113.47","113.78","114.09","113.20","-0.25%"
"2016年03月04日","113.76","113.68","114.26","113.15","0.06%"
"2016年03月03日","113.69","113.48","114.28","113.28","0.19%"
"2016年03月02日","113.48","114.00","114.58","113.19","-0.46%"
"2016年03月01日","114.01","112.67","114.21","112.14","1.17%"
"2016年02月29日","112.69","113.84","114.01","112.62","-1.15%"
"2016年02月26日","114.00","112.98","114.00","112.54","0.88%"
"2016年02月25日","113.00","112.17","113.03","111.87","0.72%"
"2016年02月24日","112.19","112.09","112.28","111.04","0.07%"
"2016年02月23日","112.11","112.88","113.06","111.75","-0.72%"
"2016年02月22日","112.92","112.61","113.39","112.34","0.31%"
"2016年02月19日","112.57","113.23","113.40","112.28","-0.60%"
"2016年02月18日","113.25","114.09","114.33","113.11","-0.75%"
"2016年02月17日","114.11","114.06","114.52","113.35","0.03%"
"2016年02月16日","114.08","114.57","114.89","113.57","-0.44%"
"2016年02月15日","114.58","113.20","114.72","113.04","1.20%"
"2016年02月12日","113.22","112.40","113.55","111.72","0.71%"
"2016年02月11日","112.42","113.31","113.59","110.98","-0.81%"
"2016年02月10日","113.34","115.12","115.28","113.12","-1.54%"
"2016年02月09日","115.11","115.84","115.86","114.22","-0.63%"
"2016年02月08日","115.84","116.88","117.53","115.17","-0.91%"
"2016年02月05日","116.90","116.77","117.42","116.42","0.11%"
"2016年02月04日","116.77","117.88","118.25","116.50","-0.98%"
"2016年02月03日","117.92","119.94","120.06","117.03","-1.71%"
"2016年02月02日","119.97","120.98","121.06","119.82","-0.83%"
"2016年02月01日","120.98","121.10","121.48","120.66","-0.07%"
"2016年01月29日","121.06","118.80","121.70","118.48","1.88%"
"2016年01月28日","118.83","118.67","119.00","118.39","0.13%"
"2016年01月27日","118.67","118.41","119.08","118.01","0.21%"
"2016年01月26日","118.42","118.29","118.62","117.63","0.10%"
"2016年01月25日","118.30","118.50","118.86","118.16","-0.40%"
"2016年01月22日","118.78","117.70","118.89","117.52","0.92%"
"2016年01月21日","117.70","116.92","117.83","116.45","0.65%"
"2016年01月20日","116.94","117.61","117.69","115.96","-0.60%"
"2016年01月19日","117.64","117.31","118.13","117.23","0.26%"
"2016年01月18日","117.34","116.88","117.47","116.55","0.24%"
"2016年01月15日","117.06","118.02","118.28","116.49","-0.84%"
"2016年01月14日","118.05","117.66","118.28","117.27","0.31%"
"2016年01月13日","117.69","117.64","118.39","117.61","0.04%"
"2016年01月12日","117.64","117.73","118.08","117.20","-0.11%"
"2016年01月11日","117.77","117.43","118.03","116.68","0.27%"
"2016年01月08日","117.45","117.66","118.77","117.42","-0.20%"
"2016年01月07日","117.68","118.46","118.77","117.30","-0.67%"
"2016年01月06日","118.47","119.05","119.17","118.22","-0.50%"
"2016年01月05日","119.06","119.41","119.71","118.77","-0.32%"
"2016年01月04日","119.44","120.27","120.47","118.68","-0.74%"
"2016年01月01日","120.33","120.27","120.33","120.27","0.01%"
"2015年12月31日","120.32","120.49","120.60","119.98","-0.17%"
"2015年12月30日","120.52","120.46","120.67","120.32","0.04%"
"2015年12月29日","120.47","120.38","120.50","120.20","0.05%"
"2015年12月28日","120.41","120.22","120.66","120.15","-0.01%"
"2015年12月25日","120.42","120.46","120.48","120.02","-0.02%"
"2015年12月24日","120.44","120.90","121.00","120.22","-0.41%"
"2015年12月23日","120.93","121.06","121.14","120.78","-0.12%"
"2015年12月22日","121.08","121.16","121.33","120.70","-0.09%"
"2015年12月21日","121.19","121.21","121.55","120.83","-0.02%"
"2015年12月18日","121.22","122.55","123.60","121.04","-1.09%"
"2015年12月17日","122.56","122.19","122.88","122.17","0.28%"
"2015年12月16日","122.22","121.65","122.42","121.41","0.44%"
"2015年12月15日","121.68","121.02","121.82","120.55","0.54%"
"2015年12月14日","121.03","120.96","121.36","120.32","0.14%"
"2015年12月11日","120.86","121.58","122.22","120.57","-0.61%"
"2015年12月10日","121.60","121.45","121.89","121.23","0.13%"
"2015年12月09日","121.44","122.92","123.06","121.05","-1.20%"
"2015年12月08日","122.92","123.36","123.42","122.69","-0.37%"
"2015年12月07日","123.38","123.20","123.47","123.12","0.17%"
"2015年12月04日","123.17","122.57","123.38","122.44","0.46%"
"2015年12月03日","122.61","123.24","123.58","122.27","-0.52%"
"2015年12月02日","123.25","122.87","123.67","122.80","0.31%"
"2015年12月01日","122.87","123.08","123.29","122.62","-0.19%"
"2015年11月30日","123.10","122.79","123.36","122.66","0.21%"
"2015年11月27日","122.84","122.60","122.89","122.28","0.18%"
"2015年11月26日","122.62","122.68","122.75","122.47","-0.08%"
"2015年11月25日","122.72","122.51","122.95","122.23","0.16%"
"2015年11月24日","122.53","122.83","122.97","122.29","-0.25%"
"2015年11月23日","122.84","122.77","123.28","122.73","-0.06%"
"2015年11月20日","122.91","122.85","123.07","122.70","0.04%"
"2015年11月19日","122.86","123.62","123.64","122.60","-0.63%"
"2015年11月18日","123.64","123.43","123.69","123.19","0.15%"
"2015年11月17日","123.45","123.17","123.50","123.14","0.23%"
"2015年11月16日","123.17","122.32","123.30","122.20","0.43%"
"2015年11月13日","122.64","122.59","123.00","122.43","0.02%"
"2015年11月12日","122.61","122.85","123.09","122.53","-0.19%"
"2015年11月11日","122.84","123.16","123.25","122.73","-0.24%"
"2015年11月10日","123.14","123.17","123.45","123.00","-0.04%"
"2015年11月09日","123.19","123.14","123.61","122.95","0.02%"
"2015年11月06日","123.16","121.74","123.29","121.60","1.16%"
"2015年11月05日","121.75","121.56","122.01","121.35","0.16%"
"2015年11月04日","121.56","121.06","121.73","120.98","0.41%"
"2015年11月03日","121.06","120.73","121.23","120.57","0.26%"
"2015年11月02日","120.75","120.63","120.81","120.24","0.11%"
"2015年10月30日","120.62","121.12","121.47","120.26","-0.42%"
"2015年10月29日","121.13","121.08","121.19","120.56","0.03%"
"2015年10月28日","121.09","120.44","121.28","120.23","0.52%"
"2015年10月27日","120.46","121.10","121.11","120.14","-0.52%"
"2015年10月26日","121.09","121.41","121.53","120.59","-0.31%"
"2015年10月23日","121.47","120.69","121.50","120.21","0.65%"
"2015年10月22日","120.69","119.90","120.79","119.59","0.62%"
"2015年10月21日","119.95","119.83","120.11","119.73","0.09%"
"2015年10月20日","119.84","119.47","119.98","119.38","0.28%"
"2015年10月19日","119.50","119.47","119.58","119.12","0.05%"
"2015年10月16日","119.44","118.88","119.69","118.80","0.46%"
"2015年10月15日","118.89","118.81","119.18","118.04","0.05%"
"2015年10月14日","118.83","119.73","119.81","118.62","-0.77%"
"2015年10月13日","119.75","120.04","120.08","119.53","-0.23%"
"2015年10月12日","120.03","120.24","120.28","119.86","-0.21%"
"2015年10月09日","120.28","119.93","120.38","119.82","0.28%"
"2015年10月08日","119.94","120.00","120.12","119.60","-0.07%"
"2015年10月07日","120.02","120.20","120.36","119.72","-0.19%"
"2015年10月06日","120.25","120.46","120.58","120.08","-0.17%"
"2015年10月05日","120.46","119.97","120.56","119.85","0.46%"
"2015年10月02日","119.91","119.92","120.42","118.67","-0.03%"
"2015年10月01日","119.94","119.85","120.30","119.48","0.07%"
"2015年09月30日","119.86","119.72","120.38","119.54","0.11%"
"2015年09月29日","119.73","119.91","120.17","119.22","-0.16%"
"2015年09月28日","119.92","120.51","120.59","119.67","-0.55%"
"2015年09月25日","120.58","120.06","121.26","119.99","0.42%"
"2015年09月24日","120.08","120.25","120.41","119.21","-0.18%"
"2015年09月23日","120.30","120.12","120.56","119.61","0.12%"
"2015年09月22日","120.15","120.56","120.64","119.68","-0.33%"
"2015年09月21日","120.55","119.79","120.67","119.71","0.46%"
"2015年09月18日","120.00","119.98","120.30","119.03","0.00%"
"2015年09月17日","120.00","120.54","121.02","119.77","-0.46%"
"2015年09月16日","120.56","120.40","120.73","120.08","0.10%"
"2015年09月15日","120.44","120.23","120.67","119.38","0.17%"
"2015年09月14日","120.23","120.58","120.84","119.83","-0.29%"
"2015年09月11日","120.58","120.60","120.99","120.34","-0.02%"
"2015年09月10日","120.61","120.51","121.34","119.95","0.08%"
"2015年09月09日","120.51","119.81","121.22","119.78","0.58%"
"2015年09月08日","119.81","119.27","120.23","118.83","0.44%"
"2015年09月07日","119.28","118.65","119.58","118.65","0.24%"
"2015年09月04日","119.00","120.05","120.19","118.75","-0.90%"
"2015年09月03日","120.08","120.32","120.70","119.62","-0.21%"
"2015年09月02日","120.33","119.37","120.47","119.20","0.80%"
"2015年09月01日","119.38","121.20","121.28","119.26","-1.52%"
"2015年08月31日","121.22","121.65","121.75","120.86","-0.41%"
"2015年08月28日","121.72","121.00","121.73","120.63","0.57%"
"2015年08月27日","121.03","119.90","121.39","119.77","0.93%"
"2015年08月26日","119.92","118.84","120.03","118.43","0.87%"
"2015年08月25日","118.88","118.39","120.41","118.23","0.39%"
"2015年08月24日","118.42","121.68","122.04","116.46","-2.96%"
"2015年08月21日","122.03","123.40","123.50","121.80","-1.12%"
"2015年08月20日","123.41","123.78","124.17","123.31","-0.32%"
"2015年08月19日","123.81","124.39","124.50","123.68","-0.48%"
"2015年08月18日","124.41","124.37","124.53","124.16","0.02%"
"2015年08月17日","124.39","124.39","124.58","124.19","0.06%"
"2015年08月14日","124.31","124.40","124.56","124.02","-0.09%"
"2015年08月13日","124.42","124.18","124.64","124.06","0.17%"
"2015年08月12日","124.21","125.10","125.29","123.77","-0.74%"
"2015年08月11日","125.13","124.61","125.23","124.49","0.40%"
"2015年08月10日","124.63","124.13","124.80","124.12","0.33%"
"2015年08月07日","124.22","124.74","125.08","124.08","-0.42%"
"2015年08月06日","124.74","124.85","124.97","124.52","-0.13%"
"2015年08月05日","124.90","124.38","125.03","123.99","0.41%"
"2015年08月04日","124.39","124.00","124.41","123.77","0.29%"
"2015年08月03日","124.03","124.00","124.30","123.83","0.07%"
"2015年07月31日","123.94","124.15","124.39","123.50","-0.16%"
"2015年07月30日","124.14","123.93","124.58","123.85","0.16%"
"2015年07月29日","123.94","123.56","124.03","123.30","0.31%"
"2015年07月28日","123.56","123.25","123.81","123.04","0.25%"
"2015年07月27日","123.25","123.71","123.86","122.98","-0.46%"
"2015年07月24日","123.82","123.90","124.12","123.57","-0.08%"
"2015年07月23日","123.92","123.94","124.20","123.65","-0.04%"
"2015年07月22日","123.97","123.85","124.17","123.54","0.06%"
"2015年07月21日","123.89","124.26","124.50","123.73","-0.31%"
"2015年07月20日","124.27","124.06","124.39","123.96","0.15%"
"2015年07月17日","124.08","124.15","124.23","123.89","-0.06%"
"2015年07月16日","124.16","123.76","124.19","123.71","0.31%"
"2015年07月15日","123.78","123.36","123.99","123.23","0.32%"
"2015年07月14日","123.38","123.42","123.75","122.91","-0.05%"
"2015年07月13日","123.44","122.00","123.55","122.00","0.56%"
"2015年07月10日","122.75","121.33","122.89","121.25","1.16%"
"2015年07月09日","121.34","120.71","121.58","120.44","0.53%"
"2015年07月08日","120.70","122.52","122.58","120.38","-1.51%"
"2015年07月07日","122.55","122.56","122.89","121.98","-0.02%"
"2015年07月06日","122.58","122.05","122.94","121.72","-0.19%"
"2015年07月03日","122.81","123.03","123.20","122.57","-0.20%"
"2015年07月02日","123.06","123.16","123.75","122.94","-0.09%"
"2015年07月01日","123.17","122.46","123.25","122.33","0.55%"
"2015年06月30日","122.50","122.53","122.73","121.92","-0.03%"
"2015年06月29日","122.54","122.70","123.20","122.10","-1.07%"
"2015年06月26日","123.86","123.60","123.98","123.20","0.19%"
"2015年06月25日","123.62","123.84","123.97","123.30","-0.19%"
"2015年06月24日","123.85","123.93","124.38","123.69","-0.08%"
"2015年06月23日","123.95","123.35","124.19","123.32","0.46%"
"2015年06月22日","123.38","122.81","123.44","122.54","0.58%"
"2015年06月19日","122.67","122.95","123.25","122.53","-0.24%"
"2015年06月18日","122.97","123.42","123.61","122.46","-0.38%"
"2015年06月17日","123.44","123.34","124.45","123.19","0.06%"
"2015年06月16日","123.36","123.41","123.79","123.27","-0.05%"
"2015年06月15日","123.42","123.34","123.67","123.10","0.02%"
"2015年06月12日","123.39","123.39","123.83","123.11","-0.02%"
"2015年06月11日","123.42","122.67","124.15","122.60","0.61%"
"2015年06月10日","122.67","124.32","124.64","122.43","-1.34%"
"2015年06月09日","124.34","124.46","124.75","123.84","-0.11%"
"2015年06月08日","124.48","125.58","125.69","124.28","-0.91%"
"2015年06月05日","125.62","124.35","125.86","124.32","1.00%"
"2015年06月04日","124.38","124.24","124.69","123.76","0.10%"
"2015年06月03日","124.25","124.11","124.69","123.77","0.11%"
"2015年06月02日","124.11","124.76","125.06","123.74","-0.54%"
"2015年06月01日","124.78","124.10","124.93","123.85","0.52%"
"2015年05月29日","124.14","123.95","124.22","123.58","0.15%"
"2015年05月28日","123.95","123.61","124.47","123.47","0.23%"
"2015年05月27日","123.67","123.05","124.08","122.76","0.45%"
"2015年05月26日","123.11","121.55","123.34","121.48","1.28%"
"2015年05月25日","121.56","121.48","121.78","121.42","0.01%"
"2015年05月22日","121.55","121.02","121.58","120.61","0.42%"
"2015年05月21日","121.04","121.31","121.40","120.82","-0.26%"
"2015年05月20日","121.36","120.68","121.48","120.56","0.56%"
"2015年05月19日","120.69","119.98","120.73","119.80","0.58%"
"2015年05月18日","119.99","119.25","120.04","119.22","0.59%"
"2015年05月15日","119.29","119.13","119.95","119.13","0.10%"
"2015年05月14日","119.17","119.15","119.38","118.86","0.01%"
"2015年05月13日","119.16","119.86","119.99","119.01","-0.58%"
"2015年05月12日","119.86","120.07","120.28","119.76","-0.18%"
"2015年05月11日","120.08","119.65","120.17","119.43","0.23%"
"2015年05月08日","119.81","119.72","120.25","119.58","0.07%"
"2015年05月07日","119.73","119.43","119.86","119.03","0.22%"
"2015年05月06日","119.47","119.84","120.08","119.18","-0.32%"
"2015年05月05日","119.85","120.10","120.54","119.71","-0.24%"
"2015年05月04日","120.14","120.15","120.31","119.97","-0.02%"
"2015年05月01日","120.17","119.37","120.30","119.34","0.68%"
"2015年04月30日","119.36","118.98","119.92","118.47","0.27%"
